front,hl,word,meaning,sentence,analogy
"微","微","微","隐蔽，藏匿。左传哀公十六年：\""白公奔山而缢，其徒～之。","微谏不倦。","王力《古代汉语》"
"固","固","固","坚固，特指地理险要，或城郭坚固，便於防守。论语季氏：\""今夫颛臾，～而近於费。","固守","王力《古代汉语》"
"再","再","再","再","一鼓作气，再而衰，三而竭。","王力《古代汉语》"
"三","三","三","三","狡兔有三窟。","王力《古代汉语》"
"帝","帝","帝","天神，整个宇宙的主宰者（迷信）。尚书洪范：\""～乃震怒。","帝乃震怒。","王力《古代汉语》"
"后","后","后","君主，人君，天子。左传僖公三十二年：\""其南陵，夏～皋之墓也。","皇天后土。","王力《古代汉语》"
"王","王","王","帝王，天子。左传僖公四年：\""尔贡包茅不入，～祭不共，无以缩酒。","尔贡包茅不入，王祭不共，无以缩酒。","王力《古代汉语》"
"侯","侯","侯","侯","晋侯秦伯围郑","王力《古代汉语》"
"子","子","子","儿女。一般指儿子。","子","王力《古代汉语》"
"息","息","息","气息（一呼一吸为一息）。庄子逍遥游：\""生物之以～相吹也。","生物之以息相吹也。","王力《古代汉语》"
"宗","宗","宗","祖庙。左传成公三年：\""首其请於寡君而以戮於～。","首其请於寡君而以戮於宗。","王力《古代汉语》"
"庙","庙","庙","庙","一夫作难而七庙隳。","王力《古代汉语》"
"诗","诗","诗","文体的一种。尚书舜典：\""～言志。","诗言志。","王力《古代汉语》"
"书","书","书","写，写字。左传宣公二年：\""大史～曰：\'赵盾弑其君。","书足以记名姓而已。","王力《古代汉语》"
"礼","礼","礼","剥削阶级社会的典章制度与传统习惯。论语为政：\""殷因於夏～，所损益可知也。","为国以礼。","王力《古代汉语》"
"乐","乐","乐","读yuè。音乐。","事不成，则礼乐不兴。","王力《古代汉语》"
"知","知","知","知道，懂得，了解。论语学而：\""人不～而不愠。","人不知而不愠。","王力《古代汉语》"
"识","识","识","知道，认识，能辨别。孟子梁惠王上：\""不～有诸？","不识有诸？","王力《古代汉语》"
"见","见","见","看见。论语里仁：\""～贤思齐焉，～不贤而内自省也。","见贤思齐焉，见不贤而内自省也。","王力《古代汉语》"
"示","示","示","示","国之利器不可以示人。","王力《古代汉语》"
"视","视","视","看。礼记大学：\""十目所～，十手所指。","盖当时视他驿为壮。","王力《古代汉语》"
"观","观","观","有目的地看，观察。左传僖公二十三年：\""曹共公闻其骈胁，欲～其裸","今吾於人也，听其言而观其行。","王力《古代汉语》"
"望","望","望","向远处看。左传庄公十年：\""登轼而～之。","故愿望见太后。","王力《古代汉语》"
"矜","矜","矜","矛柄。贾谊过秦论上：\""锄耰棘～，非铦於钩戟长铩也。","矜","王力《古代汉语》"
"哀","哀","哀","哀","有妇人哭於墓者而哀。","王力《古代汉语》"
"憾","憾","憾","憾","敝之而无憾。","王力《古代汉语》"
"恕","恕","恕","恕","其恕乎！己所不欲，勿施於人。","王力《古代汉语》"
"愤","愤","愤","愤","是仆终已不得舒愤懑以晓左右。","王力《古代汉语》"
"患","患","患","患","季康子患盗。","王力《古代汉语》"
"持","持","持","持","子之持戟之士一日而三失伍。","王力《古代汉语》"
"措","措","措","措","则民无所措手足。","王力《古代汉语》"
