front,hl,word,meaning,sentence,analogy
"果","果","果","果子，果实。礼记曲礼上：\""赐～於君前。","赐果於君前。","王力《古代汉语》"
"实","实","实","果实，种子。庄子逍遥游：\""魏王贻我大瓠之种，我树之成，而～五石。","魏王贻我大瓠之种，我树之成，而实五石。","王力《古代汉语》"
"聪","聪","聪","聪","聋","王力《古代汉语》"
"明","明","明","亮，光明。诗经齐风鸡鸣：\""东方～矣。","东方明矣。","王力《古代汉语》"
"功","功","功","功","载缵武功。","王力《古代汉语》"
"名","名","名","名字。庄子逍遥游：\""其～为鲲。","其名为鲲。","王力《古代汉语》"
"北","北","北","北方。庄子逍遥游：\""穷发之～，有冥海者，天池也。","穷发之北，有冥海者，天池也。","王力《古代汉语》"
"中","中","中","内部，中间，中心。论语季氏：\""龟玉毁於椟～，是谁之过与？","龟玉毁於椟中，是谁之过与？","王力《古代汉语》"
"下","下","下","形容词。下面的，下级的。","上","王力《古代汉语》"
"遵","遵","遵","遵","遵彼微行。","王力《古代汉语》"
"徂","徂","徂","徂","自我徂尔，三岁食贫。","王力《古代汉语》"
"征","征","征","远行。左传僖公四年：\""昭王南～而不复。","昭王南征而不复。","王力《古代汉语》"
"归","归","归","女子出嫁。诗经周南桃夭：\""之子于～，宜其室家。","之子于归，宜其室家。","王力《古代汉语》"
"陟","陟","陟","陟","陟彼高冈。","王力《古代汉语》"
"降","降","降","读jiàng。从高处走下来，跟\""陟\""相对。","陟","王力《古代汉语》"
"流","流","流","水流动。孟子滕文公上：\""洪水横～。","管叔及其群弟乃流言于国。","王力《古代汉语》"
"放","放","放","驱逐。战国策齐策四：\""齐～其大臣孟尝君於诸侯。","齐放其大臣孟尝君於诸侯。","王力《古代汉语》"
"游","游","游","闲逛，随意旅行。楚辞渔父：\""屈原既放，～於江潭。","宁诛锄草茅以力耕乎？将游大人以成名乎？","王力《古代汉语》"
"浮","浮","浮","浮","沉","王力《古代汉语》"
"集","集","集","鸟群停在树上。诗经唐风鸨羽：\""肃肃鸨羽，～于苞栩。","沙鸥翔集。","王力《古代汉语》"
"采","采","采","用手指摘取。诗经周南关雎：\""参差荇菜，左右～之。","参差荇菜，左右采之。","王力《古代汉语》"
"叔","叔","叔","用手拾取。诗经豳风七月：\""九月～苴。","九月叔苴。","王力《古代汉语》"
"振","振","振","摇动，抖动。诗经豳风七月：\""六月莎鸡～羽。","振长策而御宇内。","王力《古代汉语》"
"援","援","援","援","嫂溺援之以手。","王力《古代汉语》"
"操","操","操","拿住，握在手里。楚辞国殇：\""～吴戈兮被犀甲。","操吴戈兮被犀甲。","王力《古代汉语》"
"秉","秉","秉","禾把。诗经小雅大田：\""彼有遗～，此有滞穗。","岂不以僧有多稌之期，友无遗秉之报？","王力《古代汉语》"
"举","举","举","举起来，抬起来。孟子梁惠王上：\""吾力足以～百钧，而不足以～一羽。","吾力足以举百钧，而不足以举一羽。","王力《古代汉语》"
"斯","斯","斯","砍。诗经陈风墓门：\""墓门有棘，斧以～之。","墓门有棘，斧以斯之。","王力《古代汉语》"
"伐","伐","伐","砍，砍伐。诗经周南汝坟：\""～其条枚。","伐其条枚。","王力《古代汉语》"
"稼","稼","稼","禾的穗和果实。诗经豳风七月：\""十月纳禾～。","十月纳禾稼。","王力《古代汉语》"
"穑","穑","穑","穑","稼穑","王力《古代汉语》"
"获","获","获","获","八月其获。","王力《古代汉语》"
"纳","纳","纳","收，收进。跟\""出\""相对。","闭门不纳","王力《古代汉语》"
"交","交","交","纵横交错，交叉。孟子滕文公上：\""兽蹄鸟迹之道，～於中国。","兽蹄鸟迹之道，交於中国。","王力《古代汉语》"
"错","错","错","镶嵌。在金属器物上雕镂，然后将另一种熔金倾入，待冷却后，磨错使平。","错刀","王力《古代汉语》"
"被","被","被","被子。楚辞招魂：\""翡翠珠～。","翡翠珠被。","王力《古代汉语》"
"任","任","任","旧读rén，平声。负担。","是任是负。","王力《古代汉语》"
"负","负","负","揹，载。庄子逍遥游：\""水之积也不厚，则其～大舟也无力。","水之积也不厚，则其负大舟也无力。","王力《古代汉语》"
"施","施","施","施行，实行。论语为政：\""～於有政。","施於有政。","王力《古代汉语》"
"用","用","用","使用，应用。诗经大雅公刘：\""酌之～匏。","酌之用匏。","王力《古代汉语》"
"制","制","制","裁制〔衣裳〕。诗经豳风东山：\""～彼裳衣。","制彼裳衣。","王力《古代汉语》"
"怀","怀","怀","想念。诗经周南卷耳：\""嗟我～人。","嗟我怀人。","王力《古代汉语》"
"慕","慕","慕","慕","人少，则慕父母。","王力《古代汉语》"
"惩","惩","惩","自己受创（失败教训）而知戒。诗经周颂小毖：\""予其～而毖后患。","予其惩而毖后患。","王力《古代汉语》"
"悼","悼","悼","悼","静言思之，躬自悼矣！","王力《古代汉语》"
"淑","淑","淑","淑","窈窕淑女，君子好逑。","王力《古代汉语》"
"幸","幸","幸","逢凶化吉，免於灾祸，形容词。论语雍也：\""不～短命死矣。","善人在上，则国无幸民。","王力《古代汉语》"
"偷","偷","偷","苟且，不严肃。楚辞离骚：\""惟夫党人之～乐兮。","惟夫党人之偷乐兮。","王力《古代汉语》"
"薄","薄","薄","薄，跟\""厚\""相对。诗经小雅小旻：\""如临深渊，如履～冰。","厚","王力《古代汉语》"
"险","险","险","险","苟有险，余必下推车。","王力《古代汉语》"
"阻","阻","阻","阻","道阻且长。","王力《古代汉语》"
"悠","悠","悠","思。诗经周南关雎：\""～哉～哉，辗转反侧。","悠哉悠哉，辗转反侧。","王力《古代汉语》"
"皇","皇","皇","大。楚辞离骚：\""朕～考曰伯庸。","朕皇考曰伯庸。","王力《古代汉语》"
"永","永","永","永","江之永矣，不可方思。","王力《古代汉语》"
"孔","孔","孔","孔","我朱孔阳。","王力《古代汉语》"
"亟","亟","亟","读qì，去声。屡次，频频。","亟请於武公。","王力《古代汉语》"
"庶","庶","庶","多，繁多，众多。论语子路：\""～矣哉！\""现代有双音词\""富～\""。","庶矣哉！","王力《古代汉语》"
"裘","裘","裘","裘","取彼狐狸，为公子裘。","王力《古代汉语》"
"褐","褐","褐","褐","无衣无褐，何以卒岁？","王力《古代汉语》"
"裳","裳","裳","裳","衣","王力《古代汉语》"
"庭","庭","庭","堂前叫庭。诗经魏风伐檀：\""胡瞻尔～有县貆兮？","不出户庭。","王力《古代汉语》"
"宇","宇","宇","屋檐。诗经豳风七月：\""八月在～。","八月在宇。","王力《古代汉语》"
"所","所","所","处所。诗经卫风硕鼠：\""爰得我～。","爰得我所。","王力《古代汉语》"
"骖","骖","骖","骖","载骖载驷。","王力《古代汉语》"
"驷","驷","驷","驷","驷不及舌。","王力《古代汉语》"
"策","策","策","竹制的马鞭子。贾谊过秦论上：\""振长～而御宇内。","振长策而御宇内。","王力《古代汉语》"
"矢","矢","矢","箭。左传成公二年：\""自始合，而～贯余手及肘。","自始合，而矢贯余手及肘。","王力《古代汉语》"
"躬","躬","躬","躬","万方有罪，罪在朕躬。","王力《古代汉语》"
"身","身","身","躯干。论语乡党：\""长一～有半。","长一身有半。","王力《古代汉语》"
"领","领","领","脖子。诗经卫风硕人：\""～如蝤蛴。","引领北望。","王力《古代汉语》"
"武","武","武","足迹。诗经大雅生民：\""履帝～敏歆。","忽奔走以先后兮，及前王之踵武。","王力《古代汉语》"
"仇","仇","仇","对，俦类，俦辈。诗经周南兔：\""公侯好～。","公侯好仇。","王力《古代汉语》"
"耦","耦","耦","耦","长沮桀溺耦而耕。","王力《古代汉语》"
"征","征","征","召。特指君召臣。","舜生三十征庸。","王力《古代汉语》"
"收","收","收","逮捕。诗经大雅瞻卬：\""此宜无罪，女反～之。","此宜无罪，女反收之。","王力《古代汉语》"
"发","发","发","把箭射出去。诗经召南驺虞：\""壹～五?br\> 。","壹发五?br\> 。","王力《古代汉语》"
"封","封","封","加土培育树木。左传昭公二年：\""宿（季武子）不敢～殖此树。","引申为聚土筑坟。左传文公三年：","王力《古代汉语》"
"弃","弃","弃","弃","弃人用犬，虽猛何为？","王力《古代汉语》"
"徙","徙","徙","迁移。论语述而：\""闻义不能～，不善不能改，是吾忧也。","闻义不能徙，不善不能改，是吾忧也。","王力《古代汉语》"
"遗","遗","遗","失掉。⊙殴确纾骸捌枞纭！币晡簦雎浴Ｊ芳腔匆鹾盍写骸吧蠛晾逯〖疲煜轮笫！彼韭砬ūㄈ伟彩椋骸按沃植荒苁啊广凇！?br\>","其故家遗俗，流风善政，犹有存者。","王力《古代汉语》"
"失","失","失","丧失，失掉，跟\""得\""相对。孟子公孙丑上：\""故久而后～之也。","得","王力《古代汉语》"
"存","存","存","存在，不及物动词，跟\""亡\""相对。史记淮阴侯列传：\""置之亡地而后～。","亡","王力《古代汉语》"
"处","处","处","读chǔ，居住。左传僖公四年：\""君～北海，寡人～南海。","君处北海，寡人处南海。","王力《古代汉语》"
"坐","坐","坐","古人铺席於地，两膝着席，臀部压在脚跟上，叫做\""坐\""。论语乡党：\""席不正不～。","坐","王力《古代汉语》"
"遇","遇","遇","碰见（不是约会的见面）。诗经郑风野有蔓草：\""邂逅相。","邂逅相。","王力《古代汉语》"
"接","接","接","交接，接触。孟子梁惠王上：\""兵刃既～。","兵刃既接。","王力《古代汉语》"
"承","承","承","捧着。左传成公十六年：\""使行人执榼～饮。","持节承诏。","王力《古代汉语》"
"扶","扶","扶","扶","危而不持，颠而不扶。","王力《古代汉语》"
"刺","刺","刺","扎，用尖长的武器杀伤。孟子梁惠王上：\""是何异於～人而杀之。","是何异於刺人而杀之。","王力《古代汉语》"
"折","折","折","读zhé，及物动词。把东西弄断。","折北不救。","王力《古代汉语》"
"戮","戮","戮","杀，处决，处以死刑。左传成公三年：\""首其请於寡君而以～於宗。","首其请於寡君而以戮於宗。","王力《古代汉语》"
"问","问","问","提出问题，询问。左传隐公元年：\""敢～何谓也？","敢问何谓也？","王力《古代汉语》"
"对","对","对","回答在上的提问。左传隐公元年：\""公问之。","公问之。对曰：\'小人有母，皆尝小人之食矣，未尝君之羹。\'","王力《古代汉语》"
"许","许","许","应允，跟\""辞\""相对。左传隐公元年：\""亟请於武公，公弗～。","辞","王力《古代汉语》"
"省","省","省","读xǐng。视，视察，察看。","命有司省囹圄，去桎梏。","王力《古代汉语》"
"审","审","审","详细，详尽。礼记中庸：\""博学之，～问之。","博学之，审问之。","王力《古代汉语》"
"虑","虑","虑","虑","人无远虑，必有近忧。","王力《古代汉语》"
"怨","怨","怨","心怀不满，埋怨，抱怨。左传襄公三十一年：\""我闻忠善以损～，不闻作威以防～。","我闻忠善以损怨，不闻作威以防怨。","王力《古代汉语》"
"忍","忍","忍","忍耐。左传成公二年：\""吾子～之。","吾子忍之。","王力《古代汉语》"
"快","快","快","快","然后快於心与？","王力《古代汉语》"
"兴","兴","兴","起，起来。论语卫灵公：\""从者病，莫能～。","从者病，莫能兴。","王力《古代汉语》"
"废","废","废","舍弃，停止，废弃。论语微子：\""长幼之节不可～也。","长幼之节不可废也。","王力《古代汉语》"
"变","变","变","改变，变动，变化。战国策楚策四：\""襄王闻之，颜色～作。","襄王闻之，颜色变作。","王力《古代汉语》"
"曲","曲","曲","弯曲。跟\""直\""相对。","直","王力《古代汉语》"
"直","直","直","不弯曲，跟\""曲\""相对，又跟\""枉\""相对。荀子劝学：\""木～中绳。","能使枉者直。","王力《古代汉语》"
"长","长","长","长，跟\""短\""相对。诗经秦风蒹葭：\""道阻且～。","短","王力《古代汉语》"
"小","小","小","小","大","王力《古代汉语》"
"贪","贪","贪","贪","廉","王力《古代汉语》"
"廉","廉","廉","堂的边。仪礼乡饮酒：\""设席于堂～东上。","设席于堂廉东上。","王力《古代汉语》"
"轻","轻","轻","轻","重","王力《古代汉语》"
"重","重","重","读zhòng，分量大，跟\""轻\""相对。孟子滕文公上：\""麻缕丝絮轻～同，则贾相若。","轻","王力《古代汉语》"
"狂","狂","狂","狗发疯。晋书五行志：\""早岁，犬多～死。","狂妄","王力《古代汉语》"
"殆","殆","殆","危险。庄子秋水：\""吾非至於子之门，则～矣。","吾非至於子之门，则殆矣。","王力《古代汉语》"
"危","危","危","高。庄子盗跖：\""使子路去其～冠，解其长剑。","使子路去其危冠，解其长剑。","王力《古代汉语》"
"面","面","面","脸。庄子秋水：\""於是焉河伯始旋其～目。","於是焉河伯始旋其面目。","王力《古代汉语》"
"口","口","口","嘴。孟子梁惠王上：\""为肥甘不足於～与？","山有小口，仿佛若有光。","王力《古代汉语》"
"齿","齿","齿","排列於唇前的牙。左传僖公五年：\""唇亡～寒者，其虞虢之谓也。","唇亡齿寒者，其虞虢之谓也。","王力《古代汉语》"
"耳","耳","耳","耳朵。荀子劝学：\""～不能两听而聪。","耳不能两听而聪。","王力《古代汉语》"
"目","目","目","眼。荀子劝学：\""～不能两视而明。","目不能两视而明。","王力《古代汉语》"
"指","指","指","手指，名词。庄子骈拇：\""骈拇枝～，出乎性哉。","骈拇枝指，出乎性哉。","王力《古代汉语》"
"饭","饭","饭","动词，吃［饭］，论语述而：\""～疏食，饮水。\""又使动用法，给饭吃。","饭疏食，饮水。","王力《古代汉语》"
"食","食","食","吃。左传隐公元年：\""～舍肉。","食舍肉。","王力《古代汉语》"
"服","服","服","事，特指政务。诗经大雅荡：\""曾是在位，曾是在～。","服官政。","王力《古代汉语》"
"饰","饰","饰","打扮，装饰。论语乡党：\""君子不以绀緅～。","夫铅黛所以饰容。","王力《古代汉语》"
"布","布","布","麻布。古代\""布帛\""并称，丝织品称\""帛\""，麻织品称\""布\""。","布帛","王力《古代汉语》"
"斗","斗","斗","有柄的酒器。诗经大雅行苇：\""酌以大～。","玉斗一双，欲与亚父。","王力《古代汉语》"
"式","式","式","法式，楷模。伪古文尚书微子之命：\""万邦作～。","万邦作式。","王力《古代汉语》"
"检","检","检","法则，法度，方式。曹丕典论论文：\""曲度虽均，节奏同～。","曲度虽均，节奏同检。","王力《古代汉语》"
"英","英","英","花。诗经郑风有女同车：\""颜如舜～。","朝饮木兰之坠露兮，夕餐秋菊之落英。","王力《古代汉语》"
"灵","灵","灵","事神的女巫。楚辞九歌东皇太一：\""～偃蹇兮姣服。","灵连蜷兮既留。","王力《古代汉语》"
"豪","豪","豪","长而尖锐的毛。庄子齐物论：\""天下莫大於秋～之末。","天下莫大於秋豪之末。","王力《古代汉语》"
"然","然","然","烧，引火点着。孟子公孙丑上：\""若火之始～，泉之始达。","若火之始然，泉之始达。","王力《古代汉语》"
"且","且","且","连词。而且。","公语之故，且告之悔。","王力《古代汉语》"
"或","或","或","无定代词，表示\""有人\""，但不知道姓名，或不指称姓名。孟子公孙丑上：\""～问乎曾西曰。","有人","王力《古代汉语》"
"曾","曾","曾","读zēng。祖之父为\""曾祖\""，孙之子为\""曾孙\""。","曾祖","王力《古代汉语》"
"更","更","更","读gēng，平声，改变。论语子张：\""君子之过也，如日月之食焉。","君子之过也，如日月之食焉。过也，人皆见之；更也，人皆仰之。","王力《古代汉语》"
"渐","渐","渐","流入。尚书禹贡：\""东～于海。","东渐于海。","王力《古代汉语》"
"俱","俱","俱","动词，在一起，同去或同来。史记魏公子列传：\""臣客屠者朱亥可与～。","臣客屠者朱亥可与俱。","王力《古代汉语》"
"并","并","并","动词，平行，平列。庄子马蹄：\""族与万物～。","并殷周之迹。","王力《古代汉语》"
"而","而","而","连词。连接两种性质或两种行为。","温故而知新。","王力《古代汉语》"
"若","若","若","动词，像。论语宪问：\""岂～匹夫匹妇之为谅也？","岂若匹夫匹妇之为谅也？","王力《古代汉语》"
"尔","尔","尔","代词。你，你们","尔爱其羊，我爱其礼。","王力《古代汉语》"
"建","建","建","竖立。老子五十四章：\""善～者不拔。","建鼓整列。","王力《古代汉语》"
"置","置","置","安放，放，安置。史记项羽本纪：\""项王则受璧，～之坐上。","项王则受璧，置之坐上。","王力《古代汉语》"
"罢","罢","罢","停止。论语子罕：\""欲～不能。","欲罢不能。","王力《古代汉语》"
"学","学","学","学习。论语述而：\""～而不厌。","学而不厌。","王力《古代汉语》"
"养","养","养","养","矜寡孤独废疾者皆有所养。","王力《古代汉语》"
"干","干","干","盾牌。礼记檀弓下：\""能执～戈，以卫社稷。","能执干戈，以卫社稷。","王力《古代汉语》"
"谒","谒","谒","谒","惟我郑国之有请谒焉。","王力《古代汉语》"
"徇","徇","徇","巡行，特指巡行以示众。左传僖公二十八年：\""杀颠颉以～於师。","杀颠颉以徇於师。","王力《古代汉语》"
"矫","矫","矫","揉曲使直。荀子性恶：\""故枸木必将待 栝烝～然后直。","矫","王力《古代汉语》"
"效","效","效","致，呈献。史记淮阴侯列传：\""诸将～首虏。","愿效愚忠。","王力《古代汉语》"
"留","留","留","留","王计必欲东，能用信，信即留。","王力《古代汉语》"
"遣","遣","遣","派遣，差使，打发。史记项羽本纪：\""乃～其子宋襄相齐。","赠此遣岑寂。","王力《古代汉语》"
"逢","逢","逢","遭遇。诗经邶风柏舟：\""～彼之怒。","若非群玉山头见，会向瑶台月下逢。","王力《古代汉语》"
"候","候","候","守望，放哨。战国策秦策四：\""韩必为关中之～，......而魏亦关内～矣。","韩必为关中之候，......而魏亦关内候矣。","王力《古代汉语》"
"延","延","延","引长，延长。左传成公十三年：\""君亦悔祸之～。","君亦悔祸之延。","王力《古代汉语》"
"胜","胜","胜","读shēng，阴平声。动词，用於名词的前面。","沛公不胜桮杓。","王力《古代汉语》"
"守","守","守","防守，保卫。跟攻相对。","凿斯池也，筑斯城也，与民守之。","王力《古代汉语》"
"破","破","破","打破。及物动词。","皆沈船，破釜甑。","王力《古代汉语》"
"骑","骑","骑","骑［马］。史记项羽本纪：\""骏马名骓，常～之。","骏马名骓，常骑之。","王力《古代汉语》"
"伏","伏","伏","趴［在地上、床上等］。礼记曲礼上：\""寝毋～。","寝毋伏。","王力《古代汉语》"
"围","围","围","环绕。庄子则阳：\""精至於无伦，大至於不可～。","精至於无伦，大至於不可围。","王力《古代汉语》"
"突","突","突","很急速地向前冲或向外冲。王延寿鲁灵光殿赋序：\""盗贼奔～。","盗贼奔突。","王力《古代汉语》"
"禽","禽","禽","鸟兽的总名。周易屯卦：\""即鹿无虞，以从～也。","五禽戏","王力《古代汉语》"
"纵","纵","纵","释放。跟\""禽\""相对。","禽","王力《古代汉语》"
"购","购","购","购","吾闻汉购我头千金，邑万户。","王力《古代汉语》"
"抑","抑","抑","用手压，摁。跟扬相对。","高者抑之，下者举之。","王力《古代汉语》"
"按","按","按","用手向下压，摁(èn)。汉书霍光传：\""田延年前离席～剑。","田延年前离席按剑。","王力《古代汉语》"
"拔","拔","拔","拔起来，拔出来。老子五十四章：\""善建者不～。","善建者不拔。","王力《古代汉语》"
"擢","擢","擢","拔。枚乘说吴王书：\""夫十围之木，始生如蘖，足可搔而绝，手可～而拔。","夫十围之木，始生如蘖，足可搔而绝，手可擢而拔。","王力《古代汉语》"
"挟","挟","挟","挟","挟太山以超北海。","王力《古代汉语》"
"将","将","将","奉，承。诗经周颂我将：\""我～我享，维羊维牛。","乍暖还寒时候，最难将息。","王力《古代汉语》"
"烝","烝","烝","火气上升。荀子性恶：\""枸木必将待 栝～矫然后直（这里的\""烝\""实际上就是\""烘\""。","蒸","王力《古代汉语》"
"亨","亨","亨","读hēng。通。","品物咸亨。","王力《古代汉语》"
"顾","顾","顾","回头看。楚辞哀郢：\""过夏口而西浮兮，～龙门而不见。","过夏口而西浮兮，顾龙门而不见。","王力《古代汉语》"
"察","察","察","观察，审察。孟子梁惠王上：\""～邻国之政，无如寡人之用心者。","察邻国之政，无如寡人之用心者。","王力《古代汉语》"
"裁","裁","裁","裁［衣］。杜甫白丝行：\""～缝灭尽针线迹。","裁缝灭尽针线迹。","王力《古代汉语》"
"断","断","断","及物动词。砍断，截断，剪断，锯断。","断木为杵。","王力《古代汉语》"
"奏","奏","奏","进。庄子养生主：\""～刀騞然。","争奏酒炙。","王力《古代汉语》"
"委","委","委","堆积［在地］。庄子养生主：\""如土～地。","如土委地。","王力《古代汉语》"
"捐","捐","捐","除去，撤去。孟子万章上：\""父母使舜完廪，～阶。","父母使舜完廪，捐阶。","王力《古代汉语》"
"详","详","详","详细，详尽。孟子离娄下：\""博学而～说之。","博学而详说之。","王力《古代汉语》"
"诈","诈","诈","诈","诈","王力《古代汉语》"
"与","与","与","给。跟\""取\""相对，又跟\""夺\""相对。","取","王力《古代汉语》"
"夺","夺","夺","夺","即其卧内，上夺其印符。","王力《古代汉语》"
"至","至","至","到。战国策齐策四：\""孟尝君就国於薛，未～百里，民扶老携幼，迎君道中。","孟尝君就国於薛，未至百里，民扶老携幼，迎君道中。","王力《古代汉语》"
"止","止","止","站住，不走了。跟行相对。","或百步而后止，或五十步而后止。","王力《古代汉语》"
"寤","寤","寤","寤","窈窕淑女，寤寐求之。","王力《古代汉语》"
"寐","寐","寐","寐","寤寐求之。","王力《古代汉语》"
"恨","恨","恨","恨","大王失职入汉中，秦民无不恨者。","王力《古代汉语》"
"惊","惊","惊","惊","襄子至桥而马惊。","王力《古代汉语》"
"冀","冀","冀","希望。离骚：\""～枝叶之峻茂兮。","冀枝叶之峻茂兮。","王力《古代汉语》"
"贵","贵","贵","贵","贱","王力《古代汉语》"
"贱","贱","贱","贱","方籴贱贩贵，逐什一之利。","王力《古代汉语》"
"壮","壮","壮","壮年，指三十岁以上，未到老年。右传僖公三十年：\""臣之～也，犹不如人。","臣之壮也，犹不如人。","王力《古代汉语》"
"大","大","大","大，跟\""小\""相对。孟子梁惠王上：\""以小易～，彼恶知之？","有大人之事，有小人之事。","王力《古代汉语》"
"多","多","多","多。跟\""寡\""或\""少\""相对。","寡","王力《古代汉语》"
"笃","笃","笃","厚。诗经唐风椒聊：\""实大且～。","实大且笃。","王力《古代汉语》"
"专","专","专","专","管仲得君，如彼其专也。","王力《古代汉语》"
"壹","壹","壹","专一，无二心。左传成公十三年：\""以惩不～。","以惩不壹。","王力《古代汉语》"
"稍","稍","稍","副词。渐。","项王乃疑范增与汉有私，稍夺之权。","王力《古代汉语》"
"略","略","略","划定疆界。左传昭公七年：\""天子经～。","天子经略。","王力《古代汉语》"
"犹","犹","犹","同，如同。诗经召南小星：\""实命不～。","实命不犹。","王力《古代汉语》"
"阴","阴","阴","山北为阴，水南为阴。诗经大雅公刘：\""相其～阳。","阴","王力《古代汉语》"
"阳","阳","阳","山南为阳，水北为阳。诗经大雅公刘：\""相其阴～。","相其阴阳。","王力《古代汉语》"
"休","休","休","休息。诗经周南汉广：\""南有乔木，不可～息。","南有乔木，不可休息。","王力《古代汉语》"
"咎","咎","咎","灾祸。跟休相对。","盖闻天与弗取，反受其咎。","王力《古代汉语》"
"机","机","机","发动弩的机关。（弩是用机关发射的弓。","言行君子之枢机。","王力《古代汉语》"
"要","要","要","读yāo，阴平声。古\""腰\""字。","要","王力《古代汉语》"
"祖","祖","祖","祖先。自父之父以上都称祖。","人道亲亲，故尊祖；尊祖，故敬宗。","王力《古代汉语》"
"宾","宾","宾","宾客。诗经小雅鹿鸣：\""我有嘉～。","我有嘉宾。","王力《古代汉语》"
"郎","郎","郎","官名。有侍郎，中郎，郎中等。","郎","王力《古代汉语》"
"男","男","男","形容词。男性的。","乃生男子。","王力《古代汉语》"
"部","部","部","动词。统率。","梁部署吴中豪杰为校尉、候、司马。","王力《古代汉语》"
"曹","曹","曹","左右曹，加官之一种。汉书霍光传：\""稍迁诸～侍中。","稍迁诸曹侍中。","王力《古代汉语》"
"邻","邻","邻","五家为邻。论语雍也：\""原思为之宰，与之粟九百，辞。","乡邻有斗者。","王力《古代汉语》"
"里","里","里","二十五家为里。里是一个住宅区，里有里门。","无逾我里。","王力《古代汉语》"
"狱","狱","狱","官司，诉讼。诗经召南行露：\""何以速我～？","何以速我狱？","王力《古代汉语》"
"阙","阙","阙","读què。城门两边的高台和建筑物。","郑伯享王于阙西辟。","王力《古代汉语》"
"祠","祠","祠","动词。春祭。","以三太牢祠昌邑哀王园庙。","王力《古代汉语》"
"第","第","第","次第，次序。左传哀公十六年：\""楚国～，我死，令尹司马，非胜而谁？","平阳侯曹参身被七十创，攻城略地，功最多，宜第一。","王力《古代汉语》"
"屏","屏","屏","国君宫门内当门的小墙。后汉书包咸传：\""每进见，锡以几杖，入～不趋。","每进见，锡以几杖，入屏不趋。","王力《古代汉语》"
"帐","帐","帐","帐幕，特指军用的帐篷。史记项羽本纪：\""即其～中斩宋义头。","即其帐中斩宋义头。","王力《古代汉语》"
"壁","壁","壁","墙。史记司马相如列传：\""家居徒四～立。","家居徒四壁立。","王力《古代汉语》"
"案","案","案","木制的托盘，有脚，用来盛食物。史记万石君列传：\""对～不食。","对案不食。","王力《古代汉语》"
"字","字","字","生子。周易屯卦：\""女子贞不～。","女子贞不字。","王力《古代汉语》"
"书","书","书","划分界限。左传襄公四年：\""茫茫禹迹，～为九州。","茫茫禹迹，书为九州。","王力《古代汉语》"
"项","项","项","脖子的后部。史记魏其武安侯列传：\""案灌夫～，令谢。","案灌夫项，令谢。","王力《古代汉语》"
"乳","乳","乳","动词。生子。","乃徙武北海上无人处，使牧羝，羝乳乃得归。","王力《古代汉语》"
"体","体","体","身体的各部分，如头、手、足、肩、背、股等。孟子公孙丑上：\""子夏、子游、子张皆有圣人之一～，冉牛、闵子、颜渊则具～而微。","王翳取其头，......最其后郎中骑杨喜、骑司马吕马童、郎中吕胜、杨武各得其一体；五人共会其体，皆是。","王力《古代汉语》"
"意","意","意","名词。意思。","用君之心，行君之意。","王力《古代汉语》"
"谄","谄","谄","谄","贫而无谄。","王力《古代汉语》"
"谀","谀","谀","谀","灌夫为人刚直，使酒，不好面谀。","王力《古代汉语》"
"诬","诬","诬","诬","天实置之，而二三子以为己力，不亦诬乎！","王力《古代汉语》"
"辩","辩","辩","辩论。孟子滕文公下：\""予岂好～哉？","予岂好辩哉？予不得已也。","王力《古代汉语》"
"怜","怜","怜","怜悯。邹阳狱中上梁王书：\""愿大王孰察，少加～焉。","愿大王孰察，少加怜焉。","王力《古代汉语》"
"闵","闵","闵","忧患，伤心的事。诗经邶风柏舟：\""觏～既多，受侮不少。","觏闵既多，受侮不少。","王力《古代汉语》"
"吊","吊","吊","善。诗经小雅节南山：\""昊天不～。","昊天不吊。","王力《古代汉语》"
"除","除","除","宫殿的台阶。汉书李广苏建传：\""从至雍棫阳宫，扶辇下～，触柱折辕。","从至雍棫阳宫，扶辇下除，触柱折辕。","王力《古代汉语》"
"拜","拜","拜","一种表示敬意的礼节。古人的拜是先跪下，头低到手，与心平。","卜偃使大夫拜。","王力《古代汉语》"
"营","营","营","量地。东西量地为\""经\""，周围量地为\""营\""。","务一心营职，以求亲媚於主上。","王力《古代汉语》"
"务","务","务","动词。致力於某事，从事於。","君子务本。","王力《古代汉语》"
"积","积","积","积聚谷物。诗经周颂良耜：\""～之栗栗。","士卒死伤如积。","王力《古代汉语》"
"聚","聚","聚","使民众聚居。左传隐公元年：\""大叔完～，缮甲兵，具卒乘。","大叔完聚，缮甲兵，具卒乘。","王力《古代汉语》"
"寻","寻","寻","八尺。孟子滕文公下：\""枉尺而直～。","酒债寻常行处有。","王力《古代汉语》"
"迭","迭","迭","迭","日居月诸，胡迭而微。","王力《古代汉语》"
"代","代","代","更换，代替。左传庄公八年：\""及瓜而～。","及瓜而代。","王力《古代汉语》"
"替","替","替","废。诗经小雅楚茨：\""子子孙孙，勿～引之。","子子孙孙，勿替引之。","王力《古代汉语》"
"成","成","成","成为事实，实现。论语子路：\""见小利则大事不～。","见小利则大事不成。","王力《古代汉语》"
"遂","遂","遂","成，顺利地做到。礼记月令：\""百事乃～。","禽兽成群，草木遂长。","王力《古代汉语》"
"系","系","系","缚，捆绑，拴。孟子梁惠王下：\""～累其子弟。","百越之君俯首系颈。","王力《古代汉语》"
"累","累","累","读léi，阳平声。大绳子，特指用来绑人的。","累","王力《古代汉语》"
